Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
44,2:03:47,Bashir Abdi,BEL,10.02.89,1,Rotterdam,16.04.2023,Men,Marathon
45,2:03:48,Dawit Wolde,ETH,19.05.91,3,Valencia,03.12.2023,Men,Marathon
46,2:03:50,Timothy Kiplagat,KEN,97,2,Rotterdam,16.04.2023,Men,Marathon
47,2:03:51,Stanley Biwott,KEN,21.04.86,2,London,24.04.2016,Men,Marathon
47,2:03:51,Kinde Atanaw,ETH,15.04.93,1,Valencia,01.12.2019,Men,Marathon
49,2:03:52,Emmanuel Mutai,KEN,12.10.84,2,Chicago,13.10.2013,Men,Marathon
50,2:03:55,Reuben Kiprop Kipyego,KEN,21.08.96,2,Milano,16.05.2021,Men,Marathon
51,2:03:58,Wilson Kipsang Kiprotich,KEN,15.03.82,1,Tokyo,26.02.2017,Men,Marathon
52,2:03:59,Haile Gebrselassie,ETH,18.04.73,1,Berlin,28.09.2008,Men,Marathon
53,2:04:00,Eliud Kipchoge,KEN,05.11.84,1,Berlin,27.09.2015,Men,Marathon
53,2:04:00,Mosinet Geremew,ETH,12.02.92,1,Dubai,26.01.2018,Men,Marathon
55,2:04:01,Sisay Lemma,ETH,12.12.90,1,London,03.10.2021,Men,Marathon
56,2:04:02,Leul Gebrselassie,ETH,20.09.93,2,Dubai,26.01.2018,Men,Marathon
56,2:04:02,Benson Kipruto,KEN,17.03.91,2,Chicago,08.10.2023,Men,Marathon
58,2:04:04,Marius Kipserem,KEN,17.05.88,2,Rotterdam,24.10.2021,Men,Marathon
59,2:04:05,Eliud Kipchoge,KEN,05.11.84,2,Berlin,29.09.2013,Men,Marathon
60,2:04:06,Tamirat Tola,ETH,11.08.91,3,Dubai,26.01.2018,Men,Marathon
60,2:04:06,Asefa Mengistu,ETH,18.01.85,4,Dubai,26.01.2018,Men,Marathon
60,2:04:06,Lawrence Cherono,KEN,07.08.88,1,Amsterdam,21.10.2018,Men,Marathon
63,2:04:08,Sisay Lemma,ETH,12.12.90,5,Dubai,26.01.2018,Men,Marathon
64,2:04:09,Bernard Koech,KEN,31.01.88,2,Amsterdam,17.10.2021,Men,Marathon
64,2:04:09,Bernard Koech,KEN,31.01.88,1,Hamburg,23.04.2023,Men,Marathon
66,2:04:11,Eliud Kipchoge,KEN,05.11.84,1,Chicago,12.10.2014,Men,Marathon
66,2:04:11,Tamirat Tola,ETH,11.08.91,1,Dubai,20.01.2017,Men,Marathon
66,2:04:11,Marius Kipserem,KEN,17.05.88,1,Rotterdam,07.04.2019,Men,Marathon
69,2:04:12,Reuben Kiprop Kipyego,KEN,21.08.96,5,Valencia,06.12.2020,Men,Marathon
69,2:04:12,Leul Gebrselassie,ETH,20.09.93,3,Amsterdam,17.10.2021,Men,Marathon
71,2:04:14,Tamirat Tola,ETH,11.08.91,3,Tokyo,06.03.2022,Men,Marathon
72,2:04:15,Geoffrey Mutai,KEN,07.10.81,1,Berlin,30.09.2012,Men,Marathon
72,2:04:15,Birhanu Legesse,ETH,09.11.94,6,Dubai,26.01.2018,Men,Marathon
72,2:04:15,Birhanu Legesse,ETH,09.11.94,1,Tokyo,01.03.2020,Men,Marathon
75,2:04:16,Dennis Kimetto,KEN,22.04.84,2,Berlin,30.09.2012,Men,Marathon
75,2:04:16,Kaan Kigen Özbilen,TUR,15.01.86,2,Valencia,01.12.2019,Men,Marathon
77,2:04:17,Eliud Kipchoge,KEN,05.11.84,1,London,22.04.2018,Men,Marathon
77,2:04:17,Barnabas Kiptum,KEN,08.10.86,3,Milano,16.05.2021,Men,Marathon
79,2:04:18,Joshua Belet,KEN,10.02.98,1,Amsterdam,15.10.2023,Men,Marathon
80,2:04:19,Kenenisa Bekele,ETH,13.06.82,4,Valencia,03.12.2023,Men,Marathon
81,2:04:21,Elisha Rotich,KEN,12.04.90,1,Paris,17.10.2021,Men,Marathon
82,2:04:22,Ronald Korir,KEN,10.04.91,4,Berlin,24.09.2023,Men,Marathon
83,2:04:23,Ayele Abshero,ETH,28.12.90,1,Dubai,27.01.2012,Men,Marathon
83,2:04:23,Geoffrey Kamworor,KEN,28.11.92,2,London,23.04.2023,Men,Marathon
85,2:04:24,Tesfaye Abera,ETH,31.03.92,1,Dubai,22.01.2016,Men,Marathon
85,2:04:24,Asefa Mengistu,ETH,18.01.85,3,Dubai,25.01.2019,Men,Marathon
85,2:04:24,Benson Kipruto,KEN,17.03.91,1,Chicago,09.10.2022,Men,Marathon
88,2:04:26,Haile Gebrselassie,ETH,18.04.73,1,Berlin,30.09.2007,Men,Marathon
89,2:04:27,Duncan Kipkemboi Kibet,KEN,25.04.78,1,Rotterdam,05.04.2009,Men,Marathon
89,2:04:27,James Kipsang Kwambai,KEN,28.02.83,2,Rotterdam,05.04.2009,Men,Marathon
89,2:04:27,Dawit Wolde,ETH,19.05.91,3,Rotterdam,24.10.2021,Men,Marathon
92,2:04:28,Sammy Kirop Kitwara,KEN,26.11.86,2,Chicago,12.10.2014,Men,Marathon
92,2:04:28,Vincent Toroitich,KEN,03.08.90,2,London,03.10.2021,Men,Marathon
94,2:04:29,Wilson Kipsang Kiprotich,KEN,15.03.82,1,London,13.04.2014,Men,Marathon
94,2:04:29,Seifu Tura,ETH,17.06.97,4,Milano,16.05.2021,Men,Marathon
96,2:04:30,Eliud Kipchoge,KEN,05.11.84,1,Enschede,18.04.2021,Men,Marathon
97,2:04:31,Leul Gebrselassie,ETH,20.09.93,1,Valencia,02.12.2018,Men,Marathon
97,2:04:31,Leul Gebrselassie,ETH,20.09.93,5,Milano,16.05.2021,Men,Marathon
99,2:04:32,Tsegaye Mekonnen,ETH,15.06.95,1,Dubai,24.01.2014,Men,Marathon
99,2:04:32,Dickson Chumba,KEN,27.10.86,3,Chicago,12.10.2014,Men,Marathon
99,2:04:32,Jonathan Kipleting,KEN,20.11.86,4,Amsterdam,17.10.2021,Men,Marathon
99,2:04:32,Bashir Abdi,BEL,10.02.89,3,Chicago,08.10.2023,Men,Marathon
103,2:04:33,Lemi Berhanu,ETH,13.09.94,2,Dubai,22.01.2016,Men,Marathon
103,2:04:33,Joshua Belet,KEN,10.02.98,2,Hamburg,23.04.2023,Men,Marathon
103,2:04:33,Gabriel Gerald Geay,TAN,10.09.96,5,Valencia,03.12.2023,Men,Marathon
106,2:04:34,Cyprian Kotut,KEN,06.06.92,2,Amsterdam,15.10.2023,Men,Marathon
107,2:04:35,Hizkel Tewelde,ERI,15.09.86,5,Amsterdam,17.10.2021,Men,Marathon
108,2:04:36,Kaan Kigen Özbilen,TUR,15.01.86,5,Valencia,04.12.2022,Men,Marathon
109,2:04:37,Mule Wasihun,ETH,20.10.93,2,Amsterdam,21.10.2018,Men,Marathon
109,2:04:37,Bethwel Kibet,KEN,91,3,Amsterdam,15.10.2023,Men,Marathon
111,2:04:38,Tsegay Kebede,ETH,15.01.87,1,Chicago,07.10.2012,Men,Marathon
112,2:04:39,Amos Kipruto,KEN,16.09.92,1,London,02.10.2022,Men,Marathon
113,2:04:40,Emmanuel Mutai,KEN,12.10.84,1,London,17.04.2011,Men,Marathon
113,2:04:40,Solomon Deksisa,ETH,11.03.94,3,Amsterdam,21.10.2018,Men,Marathon
113,2:04:40,Reuben Kiprop Kipyego,KEN,21.08.96,1,Abu Dhabi,06.12.2019,Men,Marathon
116,2:04:41,Mosinet Geremew,ETH,12.02.92,3,London,03.10.2021,Men,Marathon
116,2:04:41,Hailemariyam Kiros,ETH,05.02.97,2,Paris,17.10.2021,Men,Marathon
118,2:04:42,Eliud Kipchoge,KEN,05.11.84,1,London,26.04.2015,Men,Marathon
118,2:04:42,Guye Adola,ETH,20.10.90,3,Valencia,01.12.2019,Men,Marathon
118,2:04:42,Haftu Teklu,ETH,26.05.95,5,Berlin,24.09.2023,Men,Marathon
121,2:04:43,El Hassan El Abbassi,BRN,13.04.84,2,Valencia,02.12.2018,Men,Marathon
121,2:04:43,Asrar Abderehman,ETH,25.11.99,1,Sevilla,20.02.2022,Men,Marathon
121,2:04:43,Mosinet Geremew,ETH,12.02.92,1,Seoul,17.04.2022,Men,Marathon
124,2:04:44,Wilson Kipsang Kiprotich,KEN,15.03.82,1,London,22.04.2012,Men,Marathon
124,2:04:44,Seifu Tura,ETH,17.06.97,7,Dubai,26.01.2018,Men,Marathon
124,2:04:44,Hillary Kipsambu,KEN,04.02.85,3,Paris,17.10.2021,Men,Marathon
124,2:04:44,Andualem Belay,ETH,05.04.92,6,Berlin,24.09.2023,Men,Marathon
124,2:04:44,Birhanu Legesse,ETH,09.11.94,4,Amsterdam,15.10.2023,Men,Marathon
129,2:04:45,Lelisa Desisa Benti,ETH,14.01.90,1,Dubai,25.01.2013,Men,Marathon
130,2:04:46,Tsegaye Mekonnen,ETH,15.06.95,3,Dubai,22.01.2016,Men,Marathon
130,2:04:46,Titus Ekiru,KEN,02.01.92,1,Milano,07.04.2019,Men,Marathon
130,2:04:46,Mekuant Ayenew,ETH,24.10.91,1,Sevilla,23.02.2020,Men,Marathon
133,2:04:47,Wilson Kipsang Kiprotich,KEN,15.03.82,2,London,26.04.2015,Men,Marathon
133,2:04:47,Cyprian Kotut,KEN,06.06.92,1,Hamburg,24.04.2022,Men,Marathon
135,2:04:48,Patrick Makau,KEN,02.03.85,1,Rotterdam,11.04.2010,Men,Marathon
135,2:04:48,Yemane Adhane,ETH,08.04.85,1,Rotterdam,15.04.2012,Men,Marathon
135,2:04:48,Berhanu Shiferaw,ETH,31.05.93,2,Dubai,25.01.2013,Men,Marathon
135,2:04:48,Birhanu Legesse,ETH,09.11.94,1,Tokyo,03.03.2019,Men,Marathon
135,2:04:48,Barselius Kipyego,KEN,23.07.93,4,Paris,17.10.2021,Men,Marathon
135,2:04:48,Stephen Kissa,UGA,01.12.95,2,Hamburg,24.04.2022,Men,Marathon
135,2:04:48,Kibiwott Kandie,KEN,20.06.96,6,Valencia,03.12.2023,Men,Marathon
142,2:04:49,Tadesse Tola,ETH,31.10.87,3,Dubai,25.01.2013,Men,Marathon
142,2:04:49,Tola Shura,ETH,09.06.96,2,London,22.04.2018,Men,Marathon
142,2:04:49,Bashir Abdi,BEL,10.02.89,2,Tokyo,01.03.2020,Men,Marathon
142,2:04:49,Herpasa Negasa,ETH,11.09.93,2,Seoul,17.04.2022,Men,Marathon
142,2:04:49,Seifu Tura,ETH,17.06.97,2,Chicago,09.10.2022,Men,Marathon
142,2:04:49,Tsegaye Getachew,ETH,30.11.96,1,Amsterdam,16.10.2022,Men,Marathon
142,2:04:49,Amos Kipruto,KEN,16.09.92,7,Berlin,24.09.2023,Men,Marathon
149,2:04:50,Dino Sefer,ETH,28.05.88,2,Dubai,27.01.2012,Men,Marathon
149,2:04:50,Getu Feleke,ETH,28.11.86,2,Rotterdam,15.04.2012,Men,Marathon
151,2:04:51,Abebe Degefa,ETH,20.05.84,4,Valencia,01.12.2019,Men,Marathon
151,2:04:51,Sisay Lemma,ETH,12.12.90,3,Tokyo,01.03.2020,Men,Marathon
151,2:04:51,Daniel do Nascimento,BRA,28.07.98,3,Seoul,17.04.2022,Men,Marathon
154,2:04:52,Feyisa Lelisa,ETH,01.02.90,2,Chicago,07.10.2012,Men,Marathon
154,2:04:52,Endeshaw Negesse,ETH,18.03.88,4,Dubai,25.01.2013,Men,Marathon
154,2:04:52,Kenneth Kipkemoi,KEN,02.08.84,1,Eindhoven,08.10.2023,Men,Marathon
157,2:04:53,Haile Gebrselassie,ETH,18.04.73,1,Dubai,18.01.2008,Men,Marathon
157,2:04:53,Gebre-egziabher Gebremariam,ETH,10.09.84,3,Boston,18.04.2011,Men,Marathon
157,2:04:53,Bernard Koech,KEN,31.01.88,5,Dubai,25.01.2013,Men,Marathon
157,2:04:53,Mathew Kisorio,KEN,16.05.89,3,Valencia,02.12.2018,Men,Marathon
157,2:04:53,Deso Gelmisa,ETH,14.12.97,6,Valencia,06.12.2020,Men,Marathon
157,2:04:53,Abayneh Degu,ETH,01.12.98,5,Paris,17.10.2021,Men,Marathon
157,2:04:53,Brimin Misoi,KEN,89,1,Frankfurt,29.10.2023,Men,Marathon
164,2:04:54,Markos Geneti,ETH,30.05.84,3,Dubai,27.01.2012,Men,Marathon
164,2:04:54,Titus Kibiego,KEN,03.05.96,2,Amsterdam,16.10.2022,Men,Marathon
166,2:04:55,Paul Tergat,KEN,17.06.69,1,Berlin,28.09.2003,Men,Marathon
166,2:04:55,Geoffrey Mutai,KEN,07.10.81,2,Rotterdam,11.04.2010,Men,Marathon
166,2:04:55,Stanley Biwott,KEN,21.04.86,2,London,13.04.2014,Men,Marathon
166,2:04:55,Gabriel Gerald Geay,TAN,10.09.96,6,Milano,16.05.2021,Men,Marathon
170,2:04:56,Sammy Korir,KEN,12.12.71,2,Berlin,28.09.2003,Men,Marathon
170,2:04:56,Jonathan Maiyo,KEN,05.05.88,4,Dubai,27.01.2012,Men,Marathon
170,2:04:56,Kengo Suzuki,JPN,11.06.95,1,Otsu,28.02.2021,Men,Marathon
170,2:04:56,Abdi Nageeye,NED,02.03.89,1,Rotterdam,10.04.2022,Men,Marathon
170,2:04:56,Leul Gebrselassie,ETH,20.09.93,2,Rotterdam,10.04.2022,Men,Marathon
170,2:04:56,Deso Gelmisa,ETH,14.12.97,6,Valencia,04.12.2022,Men,Marathon
170,2:04:56,Philemon Kiplimo,KEN,10.10.98,8,Berlin,24.09.2023,Men,Marathon
177,2:04:57,Wilson Kipsang Kiprotich,KEN,15.03.82,1,Frankfurt,31.10.2010,Men,Marathon
177,2:04:57,Bazezew Asmare,ETH,11.09.96,3,Amsterdam,16.10.2022,Men,Marathon
179,2:04:58,Ryan Hall,USA,14.10.82,4,Boston,18.04.2011,Men,Marathon
179,2:04:58,Sisay Lemma,ETH,12.12.90,1,Ljubljana,28.10.2018,Men,Marathon
179,2:04:58,Amanal Petros,GER,17.05.95,9,Berlin,24.09.2023,Men,Marathon
179,2:04:58,Tamirat Tola,ETH,11.08.91,1,Bambolim,03.11.2023,Men,Marathon
183,2:04:59,Gadissa Berhanu Shume,ETH,15.09.92,1,Sevilla,19.02.2023,Men,Marathon
183,2:04:59,Tamirat Tola,ETH,11.08.91,3,London,23.04.2023,Men,Marathon
185,2:05:00,Eliud Kipchoge,KEN,05.11.84,1,Rotterdam,13.04.2014,Men,Marathon
185,2:05:00,Evans Chebet,KEN,05.03.88,1,Buenos Aires,22.09.2019,Men,Marathon
185,2:05:00,Philemon Rono,KEN,08.02.91,1,Toronto,20.10.2019,Men,Marathon
188,2:05:01,Shura Kitata Tola,ETH,09.06.96,4,London,28.04.2019,Men,Marathon
188,2:05:01,Nicholas Kirwa,KEN,16.06.94,7,Milano,16.05.2021,Men,Marathon
188,2:05:01,John Kipkosgei,KEN,02.12.96,3,Chicago,09.10.2022,Men,Marathon
191,2:05:02,Emmanuel Saina,KEN,06.09.92,4,Dubai,25.01.2019,Men,Marathon
192,2:05:03,Moses Mosop,KEN,17.07.85,3,Rotterdam,15.04.2012,Men,Marathon
193,2:05:04,Abel Kirui,KEN,04.06.82,3,Rotterdam,05.04.2009,Men,Marathon
193,2:05:04,Kenenisa Bekele,ETH,13.06.82,1,Paris,06.04.2014,Men,Marathon
193,2:05:04,Abraham Kiptoo,KEN,16.07.99,4,Amsterdam,16.10.2022,Men,Marathon
196,2:05:05,Barnabas Kiptum,KEN,08.10.86,2,Sevilla,23.02.2020,Men,Marathon
196,2:05:05,Abel Kirui,KEN,04.06.82,7,Valencia,06.12.2020,Men,Marathon
196,2:05:05,Huseyidin Mohamed,ETH,11.09.00,5,Amsterdam,16.10.2022,Men,Marathon
196,2:05:05,Boniface Kimuti,KEN,12.08.95,10,Berlin,24.09.2023,Men,Marathon
200,2:05:06,Geoffrey Mutai,KEN,07.10.81,1,New York City,06.11.2011,Men,Marathon
200,2:05:06,Marius Kimutai,BRN,10.12.92,1,Barcelona,19.03.2023,Men,Marathon
202,2:05:07,Deso Gelmisa,ETH,14.12.97,1,Paris,03.04.2022,Men,Marathon
202,2:05:07,Werkinah Tedese,ETH,13.12.00,3,Hamburg,24.04.2022,Men,Marathon
204,2:05:08,Patrick Makau,KEN,02.03.85,1,Berlin,26.09.2010,Men,Marathon
204,2:05:08,Samuel Nyamae,KEN,07.02.93,1,Wien,23.04.2023,Men,Marathon
206,2:05:09,Lawrence Cherono,KEN,07.08.88,1,Amsterdam,15.10.2017,Men,Marathon
206,2:05:09,Vincent Toroitich,KEN,03.08.90,1,Amsterdam,20.10.2019,Men,Marathon
206,2:05:09,Lemi Berhanu,ETH,13.09.94,2,Toronto,20.10.2019,Men,Marathon
206,2:05:09,Morris Munene,KEN,07.04.95,6,Paris,17.10.2021,Men,Marathon
206,2:05:09,Victor Kiplangat,UGA,19.11.99,4,Hamburg,24.04.2022,Men,Marathon
206,2:05:09,Alexander Mutiso,KEN,10.09.96,1,Praha,07.05.2023,Men,Marathon
206,2:05:09,John Kipkosgei,KEN,02.12.96,4,Chicago,08.10.2023,Men,Marathon
213,2:05:10,Samuel Wanjiru,KEN,10.11.86,1,London,26.04.2009,Men,Marathon
213,2:05:10,Geoffrey Mutai,KEN,07.10.81,2,Berlin,26.09.2010,Men,Marathon
213,2:05:10,Tadesse Tola,ETH,31.10.87,5,Dubai,27.01.2012,Men,Marathon
213,2:05:10,Seifu Tura,ETH,17.06.97,2,Paris,03.04.2022,Men,Marathon
213,2:05:10,Tadesse Abraham,SUI,12.08.82,11,Berlin,24.09.2023,Men,Marathon
218,2:05:11,Mohamed Farah,GBR,23.03.83,1,Chicago,07.10.2018,Men,Marathon
218,2:05:11,Tsegaye Getachew,ETH,30.11.96,7,Paris,17.10.2021,Men,Marathon
220,2:05:12,Stanley Biwott,KEN,21.04.86,1,Paris,15.04.2012,Men,Marathon
220,2:05:12,Felix Chemongesi,UGA,19.08.93,3,Toronto,20.10.2019,Men,Marathon
220,2:05:12,Lawrence Cherono,KEN,07.08.88,1,Valencia,05.12.2021,Men,Marathon
220,2:05:12,Adeledelew Mamo,ETH,21.09.99,2,Sevilla,20.02.2022,Men,Marathon
220,2:05:12,Reuben Kiprop Kipyego,KEN,21.08.96,3,Rotterdam,10.04.2022,Men,Marathon
220,2:05:12,Leul Gebrselassie,ETH,20.09.93,2,London,02.10.2022,Men,Marathon
220,2:05:12,Othmane El Goumri,MAR,28.05.92,2,Barcelona,19.03.2023,Men,Marathon
227,2:05:13,Vincent Kipruto,KEN,13.09.87,3,Rotterdam,11.04.2010,Men,Marathon
227,2:05:13,Markos Geneti,ETH,30.05.84,2,Dubai,24.01.2014,Men,Marathon
227,2:05:13,Wilson Loyanai,KEN,20.11.88,1,Seoul,20.03.2016,Men,Marathon
227,2:05:13,Norbert Kigen,KEN,24.01.93,2,Amsterdam,15.10.2017,Men,Marathon
227,2:05:13,Benson Kipruto,KEN,17.03.91,4,Toronto,20.10.2019,Men,Marathon
232,2:05:14,Deso Gelmisa,ETH,14.12.97,7,Valencia,03.12.2023,Men,Marathon
233,2:05:15,Martin Lel,KEN,29.10.78,1,London,13.04.2008,Men,Marathon
233,2:05:15,Sammy Kirop Kitwara,KEN,26.11.86,1,Valencia,19.11.2017,Men,Marathon
233,2:05:15,Abebe Negewo,ETH,20.05.84,8,Valencia,06.12.2020,Men,Marathon
233,2:05:15,Cyprian Kotut,KEN,06.06.92,6,Amsterdam,16.10.2022,Men,Marathon
237,2:05:16,Levi Matebo,KEN,03.11.89,2,Frankfurt,30.10.2011,Men,Marathon
237,2:05:16,Sammy Kirop Kitwara,KEN,26.11.86,3,Chicago,13.10.2013,Men,Marathon
237,2:05:16,Sisay Lemma,ETH,12.12.90,4,Dubai,22.01.2016,Men,Marathon
237,2:05:16,Solomon Deksisa,ETH,11.03.94,2,Amsterdam,20.10.2019,Men,Marathon
237,2:05:16,Deso Gelmisa,ETH,14.12.97,2,Valencia,05.12.2021,Men,Marathon
242,2:05:18,Tsegay Kebede,ETH,15.01.87,1,Fukuoka,06.12.2009,Men,Marathon
242,2:05:18,Shifera Tamru,ETH,01.10.98,5,Dubai,25.01.2019,Men,Marathon
242,2:05:18,Kipyego Reuben Kiprop,KEN,21.08.96,2,Buenos Aires,22.09.2019,Men,Marathon
242,2:05:18,Elisha Kipchirchir,KEN,12.04.90,3,Amsterdam,20.10.2019,Men,Marathon
246,2:05:19,Tsegay Kebede,ETH,15.01.87,1,London,25.04.2010,Men,Marathon
246,2:05:19,Joel Kimurer,KEN,21.01.88,8,Milano,16.05.2021,Men,Marathon
246,2:05:19,Philemon Kacherian,KEN,04.07.92,3,Valencia,05.12.2021,Men,Marathon
246,2:05:19,Bashir Abdi,BEL,10.02.89,3,London,02.10.2022,Men,Marathon
246,2:05:19,Kebede Tulu,ETH,15.09.96,2,Sevilla,19.02.2023,Men,Marathon
251,2:05:20,Tsegay Kebede,ETH,15.01.87,2,London,26.04.2009,Men,Marathon
251,2:05:20,Moses Kibet,UGA,23.03.91,6,Amsterdam,17.10.2021,Men,Marathon
251,2:05:20,Timothy Kiplagat,KEN,97,1,Abu Dhabi,17.12.2022,Men,Marathon
251,2:05:20,Okbay Tsegay,ERI,01.01.86,12,Berlin,24.09.2023,Men,Marathon
255,2:05:21,Eliud Kiptanui,KEN,06.06.89,2,Berlin,27.09.2015,Men,Marathon
255,2:05:21,Daniel Wanjiru,KEN,25.05.92,1,Amsterdam,16.10.2016,Men,Marathon
255,2:05:21,Emmanuel Saina,KEN,06.09.92,1,Buenos Aires,23.09.2018,Men,Marathon
255,2:05:21,Tsegay Kebede,ETH,15.01.87,4,Valencia,02.12.2018,Men,Marathon
259,2:05:22,Norbert Kigen,KEN,24.01.93,5,Valencia,02.12.2018,Men,Marathon
259,2:05:22,Berhane Afewerki,ERI,06.05.96,7,Amsterdam,17.10.2021,Men,Marathon
259,2:05:22,Titus Kibiego,KEN,03.05.96,4,Rotterdam,24.10.2021,Men,Marathon
259,2:05:22,Mohrad Amdouni,FRA,21.06.88,3,Paris,03.04.2022,Men,Marathon
259,2:05:22,Deso Gelmisa,ETH,14.12.97,1,Tokyo,05.03.2023,Men,Marathon
259,2:05:22,Huseyidin Mohamed,ETH,11.09.00,2,Tokyo,05.03.2023,Men,Marathon
265,2:05:23,Feyisa Lelisa,ETH,01.02.90,4,Rotterdam,11.04.2010,Men,Marathon
265,2:05:23,Geoffrey Kamworor,KEN,28.11.92,4,Valencia,05.12.2021,Men,Marathon
265,2:05:23,Bashir Abdi,BEL,10.02.89,4,Rotterdam,10.04.2022,Men,Marathon
268,2:05:24,Samuel Wanjiru,KEN,10.11.86,2,London,13.04.2008,Men,Marathon
268,2:05:24,Mosinet Geremew,ETH,12.02.92,2,Chicago,07.10.2018,Men,Marathon
268,2:05:24,Mekuant Ayenew,ETH,24.10.91,3,Sevilla,19.02.2023,Men,Marathon
271,2:05:25,Bado Worku,ETH,22.07.88,3,Berlin,26.09.2010,Men,Marathon
271,2:05:25,Albert Matebor,KEN,20.12.80,3,Frankfurt,30.10.2011,Men,Marathon
271,2:05:25,Joel Kimurer,KEN,21.01.88,8,Paris,17.10.2021,Men,Marathon
271,2:05:25,Tsegaye Getachew,ETH,30.11.96,3,Tokyo,05.03.2023,Men,Marathon
275,2:05:26,Abraham Kiptum,KEN,15.09.89,3,Amsterdam,15.10.2017,Men,Marathon
275,2:05:26,El Mahjoub Dazza,MAR,03.03.91,6,Valencia,02.12.2018,Men,Marathon
